"name","code","short","division","domain","optaID","colors.primary","colors.secondary","colors.tertiary","stadium_name","stadium_sponsor_name","capacity","capacity_seated","pitch.dimensions","pitch.type","address","postcode","station","fa_membership","kit.home.shirts","kit.home.shorts","kit.home.socks","kit.away.shirts","kit.away.shorts","kit.away.socks","kit.gk.first","kit.gk.second","sponsors.main_club","sponsors.main_shirt","sponsors.left_sleeve"
"Woking","WOK","Woking","National","wokingfc.co.uk","t300","#B50F1C","#FFFFFF","#FFFFFF","Kingfield","The Laithwaite Community Stadium","6036","","110y x 73y","Grass","Kingfield Road, Woking, Surrey","GU22 9AA","Woking","Member of the Surrey FA","Red & White Halves","Black","Black","Yellow","Navy Blue","Yellow","Green","Black","Laithwaite Financial Services Ltd","",""
"Yeovil Town","YEO","Yeovil","National","ytfc.net","t283","#3E8C3D","#FFFFFF","#FFFFFF","Huish Park","","9565","","100 x 65 metres","Grass","Lufton Way, Yeovil, Somerset","BA22 8YF","Yeovil Pen Mill","Member of the Somerset FA","Green","White","Green/White","Black & red stripes","Black","Black","Yellow","","Bradfords","",""
"York City","YOR","York","National","yorkcityfootballclub.co.uk","t78","#F31723","#FFFFFF","#FFFFFF","York Community Stadium","LNER Community Stadium","8500","8510","115y x 77.2y","Grass","Kathryn Avenue, Monks Cross, York","YO32 9AF","York","Member of the North Riding FA","Red","Navy","White","Blue","Blue","Blue","Purple","Orange","Titan Wealth","Titan Wealth","Get Branded"
"AFC Fylde","FYL","Fylde","North","afcfylde.co.uk","t3360","#E6E6E6","#000000","#000000","Mill Farm","","6000","2000","110y x 73.4y","Grass","Coronation Way, Wesham","PR4 3JZ","Kirkham & Wesham","Member of the Lancashire FA","White","White","White","Yellow","Black","Black","Orange","Green","Vetplus","Vetplus","Rustlers"
"AFC Telford United","TEL","Telford","North","telfordunited.com","t298","#E6E6E6","#000000","#000000","New Bucks Head","SEAH Stadium","6300","2220","109.4 x 72.2","Grass","The Bucks Way, Wellington, Telford","TF1 2TU","Telford Central","","White","White","White","Red","Red","Red","Green","Yellow","Capgemini","Capgemini","ATW Couriers"
"Alfreton Town","ALF","Alfreton","North","alfretontownfootballclub.com","t1587","#E21B2D","#FFFFFF","#FFFFFF","North Street","Impact Arena","3600","505","100m x 65m","Grass","North Street, Alfreton","DE75 7XB","Alfreton","Member of the Derbyshire FA","Red","Black","Black","White","Black","Black","Sharpe Green","Butercup","Phantom","Phantom",""
"Bedford Town","BED","Bedford","North","bedfordtownfc.co.uk","t1166","#2C4DA1","#FFFFFF","#FFFFFF","The Eyrie","","3000","288","100 x 66m","Artificial -  FIFA Quality PRO","Meadow Lane, Cardington, Bedford","MK44 3LW","Bedford","Member of the Bedfordshire FA","Blue","Blue","Blue/White","Black/Grey","Black","Black","Green","Orange","Harrisons","Harrisons","AnyPlace Media"
"Buxton","BUX","Buxton","North","buxtonfc.co.uk","t3145","#0E4065","#FFFFFF","#FFFFFF","The Silverlands","The Tarmac Silverlands","5200","507","100m x 65m","Artificial -FIFA Quality PRO","Silverlands, Buxton","SK17 6QH","Buxton","Member of the Derbyshire FA","Blue","Blue","Blue","Black","Black","Black","Yellow","Green","Markovitz","",""
"Chester","CHE","Chester","North","chesterfc.com","t9449","#165A9C","#FFFFFF","#FFFFFF","Deva Stadium","","6500","3920","101m x 66m","Grass","Bumpers Lane, Chester","CH1 4LT","Chester","Member of the Cheshire FA","Blue and Black Stripes","Blue","Blue","Yellow and black stripes","Yellow","Yellow","Green","Lavender","MBNA","",""
"Chorley","CHO","Chorley","North","chorleyfc.com","t3434","#E6E6E6","#000000","#000000","Victory Park","The Grant Store Victory Park Stadium","4100","703","109m x 70m","Grass","Duke Street, Chorley, Lancashire","PR7 3DU","Chorley","Member of the Lancashire FA","Black & White Stripes","Black","Red","Maroon with Black and","Maroon","Maroon","Ultra Violet","Red","PAR Group","",""
"Curzon Ashton","CUR","Curzon Ashton","North","curzon-ashton.co.uk","t3162","#343F8F","#FFFFFF","#FFFFFF","Tameside Stadium","","4000","527","113y X 72y","Grass","Richmond Street, Ashton-under-Lyne","OL7 9HG","Ashton-under-Lyne","Member of the Manchester FA","Blue","Blue","White","Pink","Pink","Pink","True Pink","Glory Mint","Pinnacle Electrical Suppliers","",""
"Darlington","DAR","Darlington","North","darlingtonfc.co.uk","t8837","#000000","#FFFFFF","#FFFFFF","Blackwell Meadows","","3300","588","100m x 68m","Grass","Grange Road, Darlington","DL1 5NR","Darlington","Member of the Durham FA","Black/White","Black","White","Light blue","Light blue","Black","Green","Orange","EBAC","",""
"Hereford","HER","Hereford","North","herefordfc.co.uk","t11371","#E6E6E6","#000000","#000000","Edgar Street","M&M Edgar Street Stadium","5250","2176","114y x 76y","Grass","Edgar Street, Hereford","HR4 9JU","Hereford","Member of the Herefordshire FA","White","Black","White","Blue","Blue","Yellow","Mint Green","Orange","Dawleys","Dawleys","Magna Electronics"
"Kidderminster Harriers","KID","Kidderminster","North","harriers.co.uk","t285","#EE4427","#FFFFFF","#FFFFFF","Aggborough","","6238","3175","110y x 70y","Grass","Hoo Road, Kidderminster","DY10 1NB","Kidderminster","Member of the Worcestershire FA","Red/White Halves","Red","Red","Black","Black","Black","Pink","Green","Adam Hewitt Ltd","Adam Hewitt Ltd","EXOL"
"King's Lynn Town","KLT","King's Lynn","North","kltown.co.uk","t6152","#4C6FA8","#EBB82E","#EBB82E","The Walks","Docherty Walks Stadium","8200","1040","110y x 72y","Grass","Tennyson Road, Kings Lynn, Norfolk","PE30 3PX","King's Lynn","Member of the Norfolk FA","Royal Blue with Yellow","Royal Blue","Royal Blue","Neon Purple with Black trim","Black","Neon Purple with Black trim","Bright Pink with Black trim","","Charmed Interiors","Charmed Interiors - Home Shirt ,",""
"Leamington","LEA","Leamington","North","leamingtonfc.co.uk","t1791","#F0A81C","#000000","#000000","The New Windmill Ground","Your Co-Op Community Stadium","3050","500","110y x 70y","Grass","Harbury Lane, Bishops Tachbrook, Leamington Spa","CV33 9SA","Leamington Spa","Member of the Birmingham FA","Gold/Black Stripes","Black","Black","Royal Blue","Royal Blue","Royal Blue","Sky Blue","Red","G & R Scaffolding","",""
"Macclesfield","MAC","Macclesfield","North","macclesfieldfc.com","t17333","#0C2149","#FFFFFF","#FFFFFF","Moss Rose","Leasing.com Stadium","5300","2029","102.8M X 69M","Artifical - Fifa Quality PRO","London Road, Macclesfield","SK11 7SP","Macclesfield","Member of the Cheshire FA","Blue","White* option blue","White* option blue","White/pink","White pink","White pink","Shock green","Shock red","Leasing.com","Duck & Cover","Kings Will Dream"
"Marine","MAR","Marine","North","marinefc.com","t3136","#E6E6E6","#000000","#000000","Rossett Park","Marine Travel Arena","2300","516","109.3 x 69.9 yards","Artificial FIFA Quality PRO","College Road, Crosby, Liverpool","L23 3AS","Blundellsands & Crosby","Member of Liverpool FA","White","Black","Black","Green","Green","Green","Pink","Yellow","Marine Travel","Marine Travel","Resolve Legal Solutions"
"Merthyr Town","MER","Merthyr","North","merthyrtownfc.co.uk","t446","#E6E6E6","#000000","#000000","Penydarren Park","","4000","","102.8M X 69M","Artificial -  FIFA Quality PRO","Park Terrace, Merthyr Tydfil","CF47 8RF","Merthyr Tydfil","Football Association of Wales","White","Black","White","Navy & Red Stripes","Navy","Navy","Purple","Neon Yellow","Vortex Competitions","Vortex Competitions","Mr Fridge Ltd"
"Oxford City","OXC","Oxford C","North","oxfordcityfc.co.uk","t1457","#E6E6E6","#031C43","#031C43","Court Place Farm","RAW Charging Stadium","3500","523","110y x 72y","Artificial FIFA Quality PRO","Marsh Lane, Marston, Oxford","OX3 0NQ","Oxford","Member of the Oxfordshire FA","Blue and White Hoops","Blue","Blue","Green","Green","Green","Yellow","Pink","University of Oxford","",""
"Peterborough Sports","PBS","Peterborough S","North","psfc.co.uk","t10568","#F77539","#FFFFFF","#FFFFFF","Lincoln Road","","2300","356","110y X 70y","Grass","651 Lincoln Road, Peterborough","PE1 3HA","Peterborough","ENGLISH FA","Orange/Black","Black","Black","Purple/Pink","Purple","Purple","Dark Green","Blue","PIMS","Vital Energy",""
"Radcliffe","RAD","Radcliffe","North","radcliffefc.com","t3444","#2E72B3","#FFFFFF","#FFFFFF","Stainton Park","Neuven Stadium","3500","380","110y x 71y","Grass","Colshaw Close East, Radcliffe, Manchester","M26 3PE","Radcliffe","Member of the Lancashire FA & Manchester FA","Blue","Blue","Blue","White","White","White","All Purple","All Cream","Manchester Brick Specialists","",""
"Scarborough Athletic","SCA","Scarborough","North","scarboroughathletic.com","t3368","#E21C34","#FFFFFF","#FFFFFF","Queensgate","Flamingo Land Stadium","2833","641","116y  x 77y","Artificial FIFA Quality Pro","c/o Bridlington Town AFC, Queensgate, Bridlington, East Yorkshire","YO11 2JW","Scarborough","Member of the North Riding FA","Red","Red","Red","Yellow/Blue","Yellow","Yellow","Black","Light Blue","OneStop","",""
"South Shields","SSH","South Shields","North","southshieldsfc.co.uk","t2480","#8E1D41","#81C4DD","#81C4DD","Mariners Park","1st Cloud Arena","4000","1055","100m x 64m","Grass","Shaftesbury Avenue, Jarrow","NE32 3UP","Bede","Member of the Durham FA","Claret & Blue","White","White","White","Claret","Claret","Orange","Blue","Pulman Group","",""
"Southport","SPT","Southport","North","southportfc.net","t297","#F3AE1C","#000000","#000000","Haig Avenue","","6008","1554","110y x 72y","Grass","Haig Avenue, Southport","PR8 6JZ","Southport","Full Member","Gold","Black","Black","Sky Blue","Sky Blue","Sky Blue","Turquoise","Orange","Birkdale Insurance Group","Birkdale Insurance Group","MTC Truck & Van Rental and"
"Spennymoor Town","SPE","Spennymoor","North","spennymoortownfc.co.uk","t3356","#3A373B","#FFFFFF","#FFFFFF","The Brewery Field","","4300","739","102y x 64y","Grass","Brewery Field, Wood Vue, Spennymoor","DL16 6JN","Durham","Member of the Durham FA","Black and White Stripes","Black","Black","Red","Red","Red","Green","Light Blue","Procure Smart","AMGT Developments","TMC"
"Worksop Town","WRK","Worksop","North","worksoptownfc.co.uk","t674","#272123","#FFDE17","#FFDE17","Sandy Lane","The Windsor Foodservice Stadium","2500","429","100m x 64m","Artificial -  FIFA Quality PRO","Sandy Lane, Worksop","S80 1UJ","Worksop","Member of the Nottinghamshire FA","Yellow and Black Stripes","Black","Yellow","Blue and Black Stripes","Blue","Blue","Green","Maroon","Windsor Foodservice","VORTEX","3iii"
